translation_id,attribute,category,valence,event_count,weighted_event_count,corpus_words,events_per_10k_words
butcher_lang_1879,unjust,moral_evaluation,negative,4,2.7163,134673,0.2970157344085303
butcher_lang_1879,valiant,agency_capacity,positive,9,6.0278,134673,0.6682854024191932
butcher_lang_1879,vast,scale_intensity,unassigned,2,1.791,134673,0.14850786720426515
butcher_lang_1879,vermilion,color_hue,context_dependent,1,-0.36815,134673,0.07425393360213257
butcher_lang_1879,violent,behavior_disposition,negative,1,0.9552,134673,0.07425393360213257
butcher_lang_1879,violet,color_hue,context_dependent,2,1.4726,134673,0.14850786720426515
butcher_lang_1879,wanton,behavior_disposition,negative,5,2.8696,134673,0.37126966801066286
butcher_lang_1879,warlike,behavior_disposition,unassigned,2,1.8109000000000002,134673,0.14850786720426515
butcher_lang_1879,weary,affect_state,negative,5,-0.11935000000000007,134673,0.37126966801066286
butcher_lang_1879,white,color_hue,context_dependent,39,26.103849999999998,134673,2.8959034104831702
butcher_lang_1879,wide,scale_intensity,unassigned,63,46.5642,134673,4.677997816934352
butcher_lang_1879,wine-dark,color_complex,unassigned,12,10.3164,134673,0.891047203225591
butcher_lang_1879,wise,cognitive_evaluation,positive,199,137.17065,134673,14.776532786824383
butcher_lang_1879,woeful,affect_state,negative,4,1.2536999999999998,134673,0.2970157344085303
butcher_lang_1879,wrathful,affect_state,negative,1,0.8865,134673,0.07425393360213257
butcher_lang_1879,yellow,color_hue,context_dependent,3,2.3681,134673,0.22276180080639774
butcher_lang_1879,young,appearance_age,unassigned,35,27.62905,134673,2.59888767607464
butler_1900,able,agency_capacity,unassigned,23,11.277899999999999,117320,1.9604500511421754
butler_1900,afraid,affect_state,negative,13,7.6764,117320,1.1080804636890556
butler_1900,aged,appearance_age,unassigned,3,2.1691,117320,0.2557108762359359
butler_1900,angry,affect_state,negative,35,21.0289,117320,2.983293556085919
butler_1900,anxious,affect_state,negative,4,1.7801,117320,0.34094783498124787
butler_1900,ashen,color_complex,context_dependent,1,0.5771,117320,0.08523695874531197
butler_1900,base,moral_evaluation,negative,1,0.5771,117320,0.08523695874531197
butler_1900,beautiful,appearance_age,positive,20,12.65735,117320,1.7047391749062393
butler_1900,bitter,affect_state,negative,6,5.2276,117320,0.5114217524718718
butler_1900,black,color_hue,context_dependent,12,10.4465,117320,1.0228435049437437
butler_1900,blameless,moral_evaluation,positive,1,0.8865,117320,0.08523695874531197
butler_1900,blue,color_hue,context_dependent,7,5.8308,117320,0.5966587112171838
butler_1900,bold,behavior_disposition,unassigned,1,0.8597,117320,0.08523695874531197
butler_1900,brave,agency_capacity,positive,30,24.0353,117320,2.5571087623593587
butler_1900,bright,luminosity,positive,1,0.8597,117320,0.08523695874531197
butler_1900,brilliant,luminosity,positive,1,0.9552,117320,0.08523695874531197
butler_1900,bronze,color_material,context_dependent,22,16.7538,117320,1.8752130923968633
butler_1900,captain,social_status,unassigned,5,4.0437,117320,0.4261847937265598
butler_1900,chieftain,social_status,unassigned,2,1.592,117320,0.17047391749062393
butler_1900,clever,cognitive_evaluation,positive,3,1.65165,117320,0.2557108762359359
butler_1900,comely,appearance_age,positive,7,5.367,117320,0.5966587112171838
butler_1900,copper,color_material,context_dependent,1,0.9552,117320,0.08523695874531197
butler_1900,crafty,cognitive_evaluation,unassigned,3,2.5173,117320,0.2557108762359359
butler_1900,crimson,color_hue,context_dependent,1,0.5771,117320,0.08523695874531197
butler_1900,cruel,moral_evaluation,negative,10,7.5032,117320,0.8523695874531196
butler_1900,cunning,cognitive_evaluation,unassigned,12,9.34,117320,1.0228435049437437
butler_1900,dark,color_hue,negative,22,17.10795,117320,1.8752130923968633
butler_1900,deep,scale_intensity,unassigned,22,17.1847,117320,1.8752130923968633
butler_1900,despairing,affect_state,negative,1,0.5771,117320,0.08523695874531197
butler_1900,dim,luminosity,negative,1,0.8358,117320,0.08523695874531197
butler_1900,distressed,affect_state,negative,2,1.9402,117320,0.17047391749062393
butler_1900,divine,moral_evaluation,positive,7,5.0089,117320,0.5966587112171838
butler_1900,endless,scale_intensity,unassigned,1,0.5771,117320,0.08523695874531197
butler_1900,evil,moral_evaluation,negative,16,10.44845,117320,1.3637913399249915
butler_1900,fair,appearance_age,positive,44,31.85685,117320,3.7504261847937266
butler_1900,fair-haired,color_complex,unassigned,1,0.9552,117320,0.08523695874531197
butler_1900,faithful,moral_evaluation,positive,3,2.2925,117320,0.2557108762359359
butler_1900,false,moral_evaluation,negative,3,2.6746,117320,0.2557108762359359
butler_1900,fearful,affect_state,negative,2,1.4367999999999999,117320,0.17047391749062393
butler_1900,feeble,agency_capacity,negative,3,2.1391999999999998,117320,0.2557108762359359
butler_1900,fierce,behavior_disposition,unassigned,5,4.1382,117320,0.4261847937265598
butler_1900,foolish,cognitive_evaluation,negative,5,0.9700999999999997,117320,0.4261847937265598
butler_1900,free,social_status,unassigned,11,6.6465499999999995,117320,0.9376065461984316
butler_1900,friendly,behavior_disposition,positive,3,1.3522,117320,0.2557108762359359
butler_1900,furious,affect_state,negative,11,7.706049999999999,117320,0.9376065461984316
butler_1900,glad,affect_state,positive,25,19.66675,117320,2.130923968632799
butler_1900,glittering,luminosity,unassigned,2,1.1542,117320,0.17047391749062393
butler_1900,glowing,luminosity,unassigned,1,0.7363,117320,0.08523695874531197
butler_1900,gold,color_material,context_dependent,30,19.1537,117320,2.5571087623593587
butler_1900,golden,color_material,context_dependent,26,16.7319,117320,2.216160927378111
butler_1900,good,moral_evaluation,positive,134,87.78,117320,11.421752471871804
