translation_id,attribute,local_count,other_count,log_odds_ratio,z_score
butler_1900,guiltless,2.0,8.0,0.7913292146510367,1.1028947160832296
butler_1900,false,3.0,15.0,0.5289670292212332,0.8970514987769725
butler_1900,intelligent,1.0,5.0,0.7155431896873301,0.7789579748573253
butler_1900,yellow,2.0,11.0,0.4908043283392276,0.7059136601981049
butler_1900,loyal,1.0,6.0,0.5495074495044614,0.60862465908877
butler_1900,cruel,9.0,58.0,0.20265818621326215,0.5823135503784935
butler_1900,formidable,0.0,1.0,0.9133142075175025,0.5600532331068734
butler_1900,merciless,0.0,1.0,0.9133142075175025,0.5600532331068734
butler_1900,sun-bright,0.0,1.0,0.9133142075175025,0.5600532331068734
butler_1900,tireless,0.0,1.0,0.9133142075175025,0.5600532331068734
butler_1900,weary,4.0,25.0,0.2843754612211038,0.5587417645496802
butler_1900,golden,23.0,157.0,0.11959481041446196,0.5438275760260719
butler_1900,low,6.0,39.0,0.21535503189422833,0.5113237418603123
butler_1900,weak,2.0,13.0,0.33161153509590857,0.4836869118596881
butler_1900,noble,29.0,203.0,0.09102370364524859,0.4646800084015045
butler_1900,sorrowful,1.0,7.0,0.4074176457929264,0.4572311458281531
butler_1900,dark,21.0,147.0,0.09602378434703684,0.418328975096197
butler_1900,anxious,4.0,27.0,0.20942225194362418,0.41388101853774756
butler_1900,keen,4.0,27.0,0.20942225194362418,0.41388101853774756
butler_1900,raging,2.0,14.0,0.26072357410090863,0.3824754343712583
butler_1900,knowing,4.0,28.0,0.17398027118418025,0.3447488989003376
butler_1900,splendid,5.0,35.0,0.1553293342896893,0.34075514084565467
butler_1900,green,3.0,22.0,0.1589822807162138,0.27811942781879123
butler_1900,holy,4.0,29.0,0.13976956174562183,0.2776500745093041
butler_1900,boastful,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,dazzling,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,deceitful,0.0,2.0,0.4054470171181146,0.26245850348867067
butler_1900,despairing,0.0,2.0,0.4054470171181146,0.26245850348867067
