event_id,translation_id,year,target,attribute,category,extraction_confidence
3570796a6e7f94ceb72f,butcher_lang_1879,1879,TROY,wide,scale_intensity,0.8597
7b67e8a3f9cb411660cc,butcher_lang_1879,1879,TROJANS,bronze,color_material,0.7363
d7567a179b632ce4a319,butcher_lang_1879,1879,ACHILLES,wise,cognitive_evaluation,0.5771
ac94d388794e44571685,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
a80192d6efb3f02f7018,butcher_lang_1879,1879,ACHILLES,fierce,behavior_disposition,0.5771
ee2edd1e83d8c0044e7a,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
d69c3c750e3ce26c26d8,butcher_lang_1879,1879,CALYPSO,fair,appearance_age,0.9552
2cf040e1ad1f41a33822,butcher_lang_1879,1879,SEA,long,scale_intensity,0.9552
e9fb6db7f973f0592801,butcher_lang_1879,1879,SEA,mighty,scale_intensity,0.9552
80efb0311503bd82b927,butcher_lang_1879,1879,SEA,bitter,affect_state,0.9552
cd004ae18812ccac9298,butcher_lang_1879,1879,SEA,great,scale_intensity,0.8597
5db95d6e969d51124cd8,butcher_lang_1879,1879,EARTH,deep,scale_intensity,0.8597
afdd82b39e306201fbc0,butcher_lang_1879,1879,SEA,wine-dark,color_complex,0.8597
54e20d3e5a18fb7b7401,butcher_lang_1879,1879,SEA,dark,color_hue,0.8597
fa72e368460fbde1796e,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.8597
12a10143dc55290c91a2,butcher_lang_1879,1879,MIND,brave,agency_capacity,0.8597
75050e7f67729624729f,butcher_lang_1879,1879,ODYSSEUS,steadfast,behavior_disposition,0.9552
30f86ae8b2e4fd2817ad,butcher_lang_1879,1879,GENERIC_SHORE,long,scale_intensity,0.6368
e3641d73ef3ec00cdec4,butcher_lang_1879,1879,SEA,great,scale_intensity,0.8597
b635eef8a8bacd38bba2,butcher_lang_1879,1879,SEA,long,scale_intensity,0.7363
9e2ffa50061d32dc047d,butcher_lang_1879,1879,STORM,great,scale_intensity,0.9552
717fe2fb16178af6ab1e,butcher_lang_1879,1879,CALYPSO,fair,appearance_age,0.9552
3a4575c2617cc56c826c,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.6627
b611e3a426c3271f2af2,butcher_lang_1879,1879,HOME,lordly,social_status,0.9552
37fc419809d74681c872,butcher_lang_1879,1879,DAWN,fair,appearance_age,0.9552
bcb9eca9298517dbf357,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
dff9a71e9f9079657e9e,butcher_lang_1879,1879,GENERIC_GOD,angry,affect_state,0.8557
f9077e13a01b58b625f2,butcher_lang_1879,1879,ODYSSEUS,long,scale_intensity,0.5771
6f97e92f2b4622f70a24,butcher_lang_1879,1879,MIND,brave,agency_capacity,0.9552
88da49e0afef1fbe02fa,butcher_lang_1879,1879,SEA,gray,color_hue,0.9552
aa4d4e831de0bdf66024,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
4a246479fdd475cca469,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.8865
5ec53742d0a50cc38beb,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
5649c71d860ca6a4cd53,butcher_lang_1879,1879,SEA,wise,cognitive_evaluation,0.8865
28b646762ccb3ac451cc,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
90a049bd4ddbd6d1761a,butcher_lang_1879,1879,EARTH,great,scale_intensity,0.9552
0d545965948dbade108d,butcher_lang_1879,1879,SEA,great,scale_intensity,0.8597
864755bf80f6a9e8cbce,butcher_lang_1879,1879,ATHENA,gray-eyed,color_complex,0.8597
97b2b6c24b4cb1392c7b,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
dcfe9fb305620a393611,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
a7119846d70852c260e5,butcher_lang_1879,1879,ATHENA,strong,agency_capacity,0.5771
fcff98f72675b865c0fb,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
706776a63bc3ebf72883,butcher_lang_1879,1879,ODYSSEUS,gray-eyed,color_complex,0.8865
c0fec08b1abbbe52e9bb,butcher_lang_1879,1879,GENERIC_RIVER,fair,appearance_age,0.8557
55e83f8b8ebacc023db5,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.6627
ad6890c10c613c95a242,butcher_lang_1879,1879,SEA,great,scale_intensity,0.8597
4f95295c5cc4b9332f06,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
25ba55dbbcc34a63cf1f,butcher_lang_1879,1879,MIND,brave,agency_capacity,0.8597
e0aecbdd436afdbf714b,butcher_lang_1879,1879,NIGHT,bitter,affect_state,0.8358
3ba465bbce54e192e03e,butcher_lang_1879,1879,SUN,bright,luminosity,0.8597
ad7766fae9c5ca7b3258,butcher_lang_1879,1879,ODYSSEUS,steadfast,behavior_disposition,0.9552
c1f516c77b2c978c6fd3,butcher_lang_1879,1879,ATHENA,weary,affect_state,0.5771
8b1c5686a6cf2e17101d,butcher_lang_1879,1879,ODYSSEUS,steadfast,behavior_disposition,0.9552
306b590621c7aaa9ceec,butcher_lang_1879,1879,PHAEACIANS,old,appearance_age,0.7522
19569d46fc9bf921855f,butcher_lang_1879,1879,ATHENA,godlike,moral_evaluation,0.5771
58f6a96ccf8f8164f326,butcher_lang_1879,1879,ATHENA,gray-eyed,color_complex,0.8597
55445c0f38d7fc0aecbb,butcher_lang_1879,1879,ODYSSEUS,great,scale_intensity,0.8597
2fead47e5736af4685b0,butcher_lang_1879,1879,MIND,high,scale_intensity,0.8597
6b27b35d7197ccce02b4,butcher_lang_1879,1879,ATHENA,gray-eyed,color_complex,0.9552
b8d43fd520541ea41405,butcher_lang_1879,1879,GENERIC_FATHER,noble,moral_evaluation,0.8557
0bcdcdbc889329458b24,butcher_lang_1879,1879,ATHENA,gray-eyed,color_complex,0.9552
14a69ed4d025e3a957f8,butcher_lang_1879,1879,GODS,glad,affect_state,0.985
3886eae9ac7d7fba9dc4,butcher_lang_1879,1879,DAWN,fair,appearance_age,0.7522
86940c33d9f9e60a71a7,butcher_lang_1879,1879,GENERIC_FATHER,purple,color_hue,0.7701
e315e08bc3bb363a018c,butcher_lang_1879,1879,PHAEACIANS,noble,moral_evaluation,0.9552
3a9d0189503b63b735cc,butcher_lang_1879,1879,GENERIC_FATHER,glad,affect_state,0.8557
399074647e91542491c8,butcher_lang_1879,1879,NAUSICAA,golden,color_material,0.5771
3c85892cfa0bca76c193,butcher_lang_1879,1879,NAUSICAA,shining,luminosity,0.5771
5362b5c895a419d2baf7,butcher_lang_1879,1879,GENERIC_RIVER,beautiful,appearance_age,0.8557
72c0830369e951d1737a,butcher_lang_1879,1879,SEA,bright,luminosity,0.8597
bde87cee575e3286c755,butcher_lang_1879,1879,SEA,free,social_status,0.7363
1699db8080d7e7d44ad7,butcher_lang_1879,1879,SEA,black,color_hue,0.9552
2beabc2a6e8cd411f5ee,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.8597
2725b3d74f43054720c8,butcher_lang_1879,1879,NAUSICAA,white,color_hue,0.7363
ed38fc3813d2f2159154,butcher_lang_1879,1879,MIND,high,scale_intensity,0.8358
f78c57626f9b9f612a9c,butcher_lang_1879,1879,ZEUS,fair,appearance_age,0.5771
12d17a1acfe121046d0e,butcher_lang_1879,1879,ZEUS,glad,affect_state,0.8865
754ef3adf370e31f3a51,butcher_lang_1879,1879,ATHENA,gray-eyed,color_complex,0.9552
3c8feee5db42e1667126,butcher_lang_1879,1879,ODYSSEUS,lovely,appearance_age,0.8358
d63dcef84908486b8c00,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
457f655b1d49240da143,butcher_lang_1879,1879,MIND,hospitable,behavior_disposition,0.8597
84dd6f84ad45d16f3047,butcher_lang_1879,1879,ODYSSEUS,unjust,moral_evaluation,0.5771
ace951ee246e5d773a74,butcher_lang_1879,1879,ODYSSEUS,strong,agency_capacity,0.5771
f2d5018a086a4aec5129,butcher_lang_1879,1879,ODYSSEUS,fair,appearance_age,0.985
769838c388a13190bc57,butcher_lang_1879,1879,ODYSSEUS,lovely,appearance_age,0.5771
838f4a20eeaa07c50e99,butcher_lang_1879,1879,SPEECH,cunning,cognitive_evaluation,0.9552
24bf1cc8a370bdba8967,butcher_lang_1879,1879,SKY,wide,scale_intensity,0.9552
cddcce748a0c23796e77,butcher_lang_1879,1879,ZEUS,great,scale_intensity,0.8597
88cf35756e759cedce3f,butcher_lang_1879,1879,ZEUS,fair,appearance_age,0.5771
7e1a7e72492f3a03bd67,butcher_lang_1879,1879,MORTALS,great,scale_intensity,0.7522
b5231879dbab818a9f89,butcher_lang_1879,1879,EARTH,wise,cognitive_evaluation,0.8358
ccb0f19420693e024785,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.6627
612dbf15f68f0fd6b7fa,butcher_lang_1879,1879,SEA,wine-dark,color_complex,0.8597
5f048c293725e1f2db00,butcher_lang_1879,1879,GENERIC_SHORE,evil,moral_evaluation,0.7363
43cef58c09008a4c4b37,butcher_lang_1879,1879,GENERIC_MAN,evil,moral_evaluation,0.7701
9b9bcd7941a5ad97702e,butcher_lang_1879,1879,GENERIC_MAN,foolish,cognitive_evaluation,0.6368
b172cabad579e95c3a08,butcher_lang_1879,1879,MORTALS,good,moral_evaluation,0.8358
76b6e65ab68335060a6c,butcher_lang_1879,1879,NAUSICAA,white,color_hue,0.7363
